supplier_code,name,contact_person,contact_number,email,address,tin,telefax,payment_terms,status
00000545,AHAM - EMMA YEUNG,,,,,,,,Active
00000546,J.P.S. MACTAL ENTERPRISES,,,,,,,,Active
00000547,HONDA PILOT,,,,,,,,Active
00000548,SEATMATE,,,,,,,,Active
00000549,OCA,,,,,,,,Active
00000550,SHAOLIN,,247-6953,,886-H ALVARADO ST. BINONDO MANILA NEAR REINA REGENTE CHINA LUCKY TOWN MALL,,,,Active
00000551,IMELDA A. BORINES - BOOKEEPER,,,,,,,,Active
00000552,JAPKOR,,,,,,,,Active
00000553,RAMROD TRADERS  INC,,,,M.L QUEZON MAGUIKAY MANDAUE CITY 6014 CEBU,,,,Active
00000554,ROYAL AUTOMOTIVE PARTS CO INC,,032 238 9540-42,,#13 P.REMEDIO ST MANDAUE CITY,,,,Active
00000555,LRD AUTO REPAIR SERVICES,,8217269  6970194,,119 MULTINATIONAL AVE MULTINATIONAL VILLAGE,,,,Active
00000556,OCTAGON COMPUTER,,,,SM CITY SUCAT SAN DIONISIO PARANAQUE,004-780-008,,,Active
00000557,BIR-SHARP,,,,,,,,Active
00000558,ACCESS MOTOR PARTS / ALBERT CO,,,,# 21 CADIG ST. BRGY SAN ISIDRO LABRADOR LALOMA QUEZON CITY,,,,Active
00000559,1MILLION KEY,,,,,,,,Active
00000560,NEW TAS AUTO SUPPLY / HANSON YU,,,,,,,,Active
00000561,GERALD MEGUIZO-GLM AUTO REPAIR CENTER,GERALD,,,29-B MAXIMO VIOLA ST BALINGASA QUEZON CITY,,,,Active
00000563,ICHIBAN MOTOR PARTS,lauro lim,732-1770   / 1406,,# 43 BANAWE ST.   ,,,,Active
00000564,GREENLEAF WOODWORKS CORP,,,,,,,,Active
00000565,RIKEN MOTOR SALES INC.,,,,1022-G MASANGKAY ST BINONDO MANILA ,,,,Active
00000566,ACRO-LINE AUTO PARTS CO INC.,,,,CALOOCAN SOUTH,,,,Active
00000567,SSCN TRADING,SHIRLEY,,,686 GANDARA ST,,,,Active
00000568,SKY ELECTRICAL & PNEUMATIC CONTROL CENTER / ANIGO TRADING,MARK,8735-9995,,"1314 Recto Ave, 299 Z 29 Sta Cruz, Manila, 1003 Metro Manil",194-718-364,8735-9996,,Active
00000569,ROMVI,,,,,,,,Active
00000570,KANZEN MOTORS SUPPLY,,87322455,,82 B BANAWE COR SAMAT ST Q.C.,103-998-542,,,Active
00000571,SHECHEM GENERAL TRADING,,,,,,,,Active
00000572,AUTOVELOCITY CORPORATION (CHEVROLET NOTYH EDSA),CLIFFER,374-0287,,1021 EDSA MUñOZ PROJ.7 QUEZON CITY,,,,Active
00000573,E & J FIRE FIGHTING EQUIPMENT CO,,8727-3620/8664-1422,,512 F. MANALO ST BRGY KABAYANAN SAN JUAN CITY,,,,Active
00000574,HARI GARMENTS MANUFACTURING,,,,,,,,Active
00000575,PHILERGY INC,,,,,,,,Active
00000576,GLENN G GANACAN,,,,,,,,Active
00000577,FORT STEEL INDUSTRIAL SALES ( C/O SOUTHERN ),APRIL ,9171344831,,10-G EVANGELISTA ST SANTOLAN PASIG CITY,,,,Active
00000578,NEW TAS ( RODMIL TRADING),,,,,,,,Active
00000579,JRS,,,,,,,,Active
00000580,JOAN CATHERINE CHUNG,,,,,,,,Active
00000581,KIA PARTS,IRISH,3411-2947,,,,,,Active
00000582,KATRINA AMORES ,KAT-BOOKEEPING,9434326596,,,,,,Active
00000583,WHEEL'S INC ( KIA ),,,,,,,,Active
00000584,FORD MANILA,,8562-5555,,,,,,Active
00000585,AMARON,JAMES / MICHAEL,02-788-9167  /  0906-481-8482  /  0908-189-1111,,,,,,Active
00000586,ROJ BORINES,,,,,,,,Active
00000587,SEASTAR CARGO LOGISTICS INC,,8364-4080 TO 83,,MAUBAN ST QUEZON CITY,,,,Active
00000588,PAMCO STATIONERY SUPPLY INC.,,242-9722 / 242-1830,,"528 E.T YUCHENGCO ST, BRGY. 289, ZONE 27, BINONDO, MANILA",,,,Active
00000590,NISSAN FRONTIER NAVARA PICK-UP 2008 MODEL DEISEL,,,,CHASSIS#MNTVCUD40Z0005517,,,,Active
00000591,QUALISTIHL MARKETING INC. CORP,,,,RICHILL INDUSTRIAL COMPOUND MILITON ESPIRITU AVE BRGY SAN ANTONIO (RAMON PASCUAL ),,,,Active
00000592,( J&SON'S HARDWARE TRADING )HARDEST WAY GENERAL MERCHANDISING,jerry,8741-8006 8401-6615/8741-5681,,"1441 MANOTOK COMPOUND , TONDO MANILA BDO# 000230063446",,,,Active
00000593,mitsubishi outlander 2007 3.0 gas 6b31,,crisoto,,jmyxlcw6w7u000273,,,,Active
00000594,MAHUSAY AUTO PARTS,,7916-3245,,,,,,Active
00000595,NEW TAPS AUTO SULLPY,,,,,,,,Active
00000596,178 CARGO FORWARDER,,,,,,,,Active
00000597,PHIL SHOPNET EXPRESS CORPORATION (BUBBLE WRAP),,,,,,,,Active
00000598,STEELHAUS GEN. MDSG. HARDWARE,ROMEL,825-3826 / 825-6106,,IN FRONT OF JAKA PLAZA  GCASH#09950312706 RICHMOND,,,,Active
00000599,EL DORADO,FERNAN,8631-4019/8524-4111/8561-4358,,GCASH#09209517661,,,,Active
00000600,Seldrado Auto Supply,FERNAN,8631-4019/8524-4111/8561-4358,,"Address: 1059 Pedro Gil St, Paco, Manila, 1000 Metro Manila",,,,Active
00000602,ART MOTOR PARTS,LORNA,8 732 6188,,119 Don Manuel Agregado Lungsod Quezon 1100 Kalakhang Maynila,,,,Active
00000603,ACCUPOWER DISTRIBUTORS INC.,TED / VERGIE /EVELYN, +63 (2) 8 241 0797,,2ND FLOOR SIEMKANG BLDG . 280 DASMARINAS STREET BRGY 291 ZONE 027 BINONDO MANILA 1006,009-843-576,METRO BANK-Account: 014-7014-53127-7,,Active
00000604,3RMAX INC,,88258567 88254527 ,,RICHLAND BLDG  BDO 000578042534,010-517-489,09291597679 09999764877,,Active
00000606,gold rush,,,,,,712-1319/711-8005/711-7914,,Active
00000607,judea st,dr.juvy,88216738,,,,,,Active
00000608,AP CARGO,,GCASH 023922793,,DOMESTIC AIRPORT PASAY,,,,Active
00000609,ACCESSSOFT,HANSEL / HARVEY / KENT,032-383-0764,,"G/F Square One Commercial Complex  M4 Singson Village, Subangdaku,   Mandaue City  ",,,,Active
00000610,lazada,,,,,,,,Active
00000611,SOUTHGATEMOTORS VENTURES CORP.,,,, BDO 011818000908,,,,Active
00000612,SUPER AA AUTOMOTIVE INCORPORATED,MICHAEL HUNG,,,BDO 001870083146,,,,Active
00000614,BENTLEY TRADING (ARKENSTAR ENTERPRISES),,"82441919,  82441928 or 29.",,,,,,Active
00000615,MAYON / CLK SUPERTOOLS DEPOT INC.,HAROLD,8243-1159-64,,CLK FSC- DASMARINAS,,,,Active
00000616,FRIENDSTAR VETERINARY SERVICES,,8821-3550 / 09209486182,,,,,,Active
00000617,TECTRAN COMMERCIAL CO. INCORPORATED / VOLMAX MARKETING,,,,114 BONI SERRANO BET. 10TH & 11TH AVE. EAST GRACE PARK BRGY 91  CALOOCAN CITY,,,,Active
00000618,jmcc auto supply,jun cruz,884-4831,,molino-paliparan barg. salawag dasmarinas cavite,,09694894841/09278143855,,Active
00000620,*CARTECH MARKETING,,,,"STA. ANA AVE., DAVAO CITY",,,,Active
00000622,MANTRADE DEVELOPMENT CORP,JHUN,9155193456,, 2280 pasong tamo ext.makati city  BDO 011538003248,000-129-871,,,Active
00000623,HYUDAI MANILA BAY,,8-556-1240,,,,,,Active
00000625,CHASE STEERING- RETURNS,,,,,,,,Active
00000626,CVI ENGINE REBUILDERS INC,ROMEO 'ROMY' BARNES,9273986362,,,,,,Active
00000627,4L & G AUTO SUPPLY,,,,PARANAQUE CITY,,,,Active
00000629,ROAD-FIT SERVICE Q.C CORPORATION,,8-524-2688,,557 B BANAWE ST. BRGY LOURDES QUEZON CITY,,,,Active
00000631,CHARLIE YOUNG,,,,,,,,Active
00000632,LINEN SAND LAYERS,ED OSWALD GO,0919-990-8487,,#28 GEMINI  ST PAMPLONA DOS LAS PINAS CITY,,,,Active
00000633,kuya aljun,aljun,8404-2648,,saint jude (trysekelan),,,,Active
00000634,SHOPPE ONLINE,,,,,,,,Active
00000635,PPLIST - COSTING,,,,,,,,Active
00000636,PPLIST 2 - COSTING,,,,,,,,Active
00000637,ARIANNA GAS STATION INC.,,,,PARANAQUE CITY,,,,Active
00000638,PETRON,,,,,,,,Active
00000639,SHELL ,,,,,,,,Active
00000640,MANILA OIL SEAL COMPANY ,ROY /JB,8-733-2267/733-2275/733-2295-733-2308,,656 EVANGELISTA STREET ZONE 030 BRGY 308 QUIPO MANILA ,000-083-563,8-733-2261,,Active
00000641,WILKINS,,,,,,,,Active
00000642,BSB JUNROSE,,,,"1508 ANTIPOLO ST., SANTA CRUZ MANILA",,,,Active
00000643,SYNERGYAUTO VENTURES CORPORATION ,,,,"BLOCK 42  FILINVEST CORP. CITY ,  ALABANG-ZAPOTE ROAD ALABANG MUNTINLUPA CITY METRO MANILA PHILIPPINES",,,,Active
00000644,Unioil Doña Soledad ,,,,,,,,Active
00000645,ALLPARTS HYDRAULICS INDUSTRIAL CORPORATION,LETTY,8524-3242/8-524-4251/8-524-3608 /8-521-6282,,"155 F. AGONCILLO ST ZONE 073  BRGY 675 ,1000 ERMITA NCR CITY MANILA FIRST DISTRICT PHIL",008-351-024,8-522-2067,,Active
00000646,PRICE UPDATE,,,,,,,,Active
00000649,1hyreal - update,,,,,,,,Active
00000650,ROTARY AUTO ELECTRIC INC.,,,,CALOOCAN CITY,,,,Active
00000651,ASSEMBLY PARTS (HYREAL),,,,,,,,Active
00000652,CASH,,,,,,,,Active
00000653,FORD  EVEREST NDT-4600,,,,,,,,Active
00000654,BUBBLE WRAP,,,,,,,,Active
00000655,PRIMAL ENTERPRISES CORPORATION,,8-376-2836/8-376-2837,,8 MILLER ST. BUNGAD SAN FRANCISCO DEL MONTER 1105 QC CTY SECOND DISTRICT PHIL.,,,,Active
00000656,EAST BANAUE MOTOR PARTS CORP.,,,,47 BANAUE ST QUEZON CITY,,,,Active
00000658,MANINDRA AUTO CORP.( FOTON QUEZON AVENUE),KENNETH,9171283982,,"833 QUEZON AVENUE, BGRY. STA CRUZ QUEZON CITY",,,,Active
